index,train_type
4172,0
10884,0
9882,0
4987,0
3147,0
10214,0
14814,0
10628,0
14471,0
18244,0
10598,0
11320,0
9336,0
17888,0
10355,0
18318,0
14691,0
2330,0
14520,0
7531,0
10958,0
4571,0
1155,0
19615,0
13163,0
4774,0
3949,0
19659,0
18802,0
8326,0
6879,0
3635,0
14338,0
1135,0
5049,0
19202,0
3140,0
11540,0
12560,0
5387,0
18371,0
12351,0
14048,0
18306,0
9709,0
908,0
3639,0
12927,0
7061,0
807,0
11307,0
16749,0
6405,0
1249,0
9406,0
5287,0
6914,0
9840,0
2667,0
12301,0
2458,0
11907,0
12424,0
3705,0
12373,0
18002,0
19096,0
2573,0
15506,0
15424,0
12191,0
5249,0
12376,0
3039,0
8595,0
12830,0
19802,0
2423,0
4625,0
7732,0
18265,0
4665,0
1026,0
1730,0
17182,0
19416,0
15272,0
13867,0
4801,0
2901,0
19457,0
7477,0
13319,0
8233,0
14313,0
17563,0
13347,0
12308,0
367,0
12461,0
186,0
4487,0
2804,0
9662,0
19410,0
8231,0
19703,0
7596,0
18484,0
7952,0
3839,0
18449,0
4684,0
6511,0
8280,0
11885,0
9821,0
12716,0
17981,0
1161,0
6881,0
16899,0
18883,0
15295,0
18775,0
9920,0
14800,0
2285,0
19532,0
14408,0
1154,0
8808,0
16729,0
12814,0
18229,0
3882,0
12375,0
10696,0
3554,0
7014,0
2406,0
13352,0
6939,0
9673,0
4549,0
17393,0
14047,0
5108,0
11502,0
2600,0
4597,0
18506,0
15486,0
3176,0
8766,0
13185,0
19644,0
18057,0
15551,0
2968,0
6957,0
1416,0
6717,0
7456,0
12105,0
3228,0
5068,0
9001,0
2774,0
9154,0
6653,0
14165,0
11241,0
3954,0
16838,0
11927,0
188,0
11393,0
5165,0
17902,0
782,0
17273,0
1438,0
1732,0
5322,0
18327,0
16990,0
13962,0
11876,0
9563,0
17544,0
10196,0
11849,0
12601,0
6796,0
18884,0
13593,0
14721,0
12573,0
17026,0
14651,0
18991,0
12321,0
2018,0
19774,0
4880,0
6403,0
4426,0
535,0
8744,0
13207,0
8826,0
3669,0
11422,0
67,0
13764,0
3916,0
3264,0
6425,0
4699,0
4950,0
10208,0
15452,0
8178,0
308,0
4512,0
1767,0
14778,0
16890,0
9620,0
19259,0
5340,0
5206,0
15357,0
12904,0
17419,0
19751,0
13057,0
6824,0
14267,0
10922,0
5093,0
9934,0
14126,0
15144,0
940,0
13536,0
17307,0
17054,0
8729,0
7025,0
1900,0
18406,0
602,0
11182,0
14508,0
4656,0
19921,0
3230,0
18875,0
7843,0
3138,0
19892,0
17679,0
13885,0
19106,0
8131,0
15518,0
7175,0
12186,0
3729,0
11099,0
3518,0
8406,0
11531,0
854,0
15476,0
12615,0
13689,0
1128,0
6773,0
11022,0
7274,0
11399,0
639,0
2320,0
3961,0
11653,0
13132,0
17756,0
1015,0
10390,0
15370,0
10337,0
14606,0
3095,0
853,0
11458,0
19677,0
3761,0
6497,0
7816,0
15308,0
11098,0
14900,0
1366,0
10456,0
14678,0
12342,0
672,0
11058,0
19154,0
2637,0
3205,0
10849,0
8066,0
9448,0
6920,0
8412,0
14481,0
11315,0
19525,0
764,0
14098,0
290,0
15250,0
16922,0
1604,0
17531,0
18959,0
19025,0
17480,0
8270,0
8929,0
6677,0
10535,0
19081,0
5386,0
17267,0
17288,0
4087,0
16746,0
1805,0
17104,0
12139,0
2109,0
14054,0
5098,0
13298,0
17565,0
372,0
6458,0
3753,0
946,0
7541,0
537,0
19280,0
12877,0
18451,0
11813,0
11482,0
17297,0
15423,0
11782,0
19332,0
2114,0
9687,0
17730,0
7137,0
9429,0
7081,0
1001,0
12593,0
1208,0
3202,0
19000,0
3225,0
2565,0
4445,0
19750,0
6528,0
1690,0
13565,0
17646,0
3915,0
17046,0
10800,0
15011,0
4993,0
19007,0
357,0
259,0
6895,0
6373,0
19400,0
19438,0
19312,0
12579,0
15157,0
9543,0
11739,0
15271,0
11660,0
11423,0
18079,0
1457,0
12427,0
5030,0
14169,0
12015,0
4247,0
12894,0
14200,0
10987,0
17001,0
13410,0
7285,0
56,0
18514,0
1471,0
17215,0
10428,0
4739,0
10207,0
14613,0
13722,0
10034,0
4728,0
19429,0
3924,0
12564,0
15031,0
3889,0
3547,0
7517,0
695,0
12386,0
7381,0
7127,0
14318,0
7440,0
1541,0
11380,0
13455,0
1998,0
6396,0
14171,0
254,0
4165,0
1684,0
616,0
12177,0
800,0
3343,0
3093,0
8585,0
1107,0
3424,0
3141,0
9887,0
10025,0
8262,0
11019,0
13841,0
4070,0
4908,0
14240,0
13104,0
3312,0
8202,0
10165,0
3691,0
4160,0
11990,0
8639,0
8689,0
14090,0
2391,0
7796,0
3416,0
17710,0
4370,0
17247,0
4127,0
3683,0
7882,0
10806,0
453,0
14085,0
3185,0
17761,0
6585,0
10203,0
6979,0
5114,0
6730,0
1297,0
16879,0
1595,0
9506,0
15065,0
19742,0
9232,0
16888,0
1735,0
1558,0
1802,0
11392,0
7535,0
15252,0
3429,0
8983,0
3061,0
3293,0
13095,0
18452,0
10637,0
17771,0
15236,0
2621,0
18526,0
11960,0
9078,0
15107,0
6426,0
19874,0
2665,0
8632,0
15556,0
17383,0
18332,0
12499,0
10968,0
1409,0
9106,0
9768,0
13125,0
13982,0
